TIPO DE SÍMBOLO,CARACTERÍSTICA DE SÍMBOLO,MATERIAL,ESPACIO ASOCIADO,CATEGORÍA ESPACIO,DEDICACIÓN,PERSONAJE,DIRECCIÓN,MUNICIPIO,PROVINCIA,COMUNIDAD,AÑO DE INAUGURACIÓN,ESTADO,FECHA RETIRADA,Nº HABITANTES,LATITUD,LONGITUD,FUENTE,ALTURA
Inscripciones y lápidas conmemorativas,Lápida,Mármol,Iglesia,Privado,Caídos,Caídos,"Calle Iglesia, sn",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.954508,-5.6939015,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=23,ND
Inscripciones y lápidas conmemorativas,Lápida,Mármol,Iglesia,Privado,Caídos,Caídos,"Calle Toro, 61",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9680944,-5.661017,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=24,ND
Inscripciones y lápidas conmemorativas,Lápida,Mármol,Iglesia,Privado,Caídos,Caídos,"Plaza de los Bandos, 4-6",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9667795,-5.664447099999999,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=25,ND
Inscripciones y lápidas conmemorativas,Lápida,Mármol,Iglesia,Privado,Caídos,Caídos,"Calle Quintana, 5",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.96423739999999,-5.664421600000001,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=26,ND
Placas,Placa Conmemorativa,Mármol,Iglesia,Privado,Francisco Franco,Francisco Franco,"Plaza Juan XXIII, 19",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9606378,-5.6673648,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=27,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle Beleña,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9712226,-5.6732258,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle Candelario,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9714684,-5.673016,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de los Villares,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9705277,-5.6736911,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle Cantalapiedra,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9715913,-5.6725986,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de la Armuña,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9712454,-5.672479900000001,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de las Batuecas,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9712468,-5.6727666,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de las Veguillas,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.97136039999999,-5.6731799,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de Tejares,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9713413,-5.672023299999999,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de la Alberca,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9705447,-5.6732352,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de la Artesanía,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9714593,-5.6741173,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de la Cooperación,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.97135129999999,-5.6742965,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,Calle de Santa Marta,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9497273,-5.6262751,https://www.google.com/maps/d/viewer?ie=UTF8&hl=es&msa=0&ll=40.973612000000024%2C-6.587591000000005&spn=2.488469%2C3.295898&z=8&source=embed&mid=1HdMH5X3qPCMPre-HLcKeFspTcIM,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Iglesia,Privado,Caídos,Caídos,"Plaza de la iglesia, 7",Galápagos,Guadalajara,Castilla-La Mancha,,Activo,,2403,40.6967174,-3.3369883,https://www.guadaque.com/provincia-guadaque/el-foro-por-la-memoria-recuerda-su-listado-de-calles-franquistas-en-guadalajara,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Carlos Pinilla,Carlos Pinilla,Calle Carlos Pinilla,Carbajales De Alba,Zamora,Castilla y León,,Activo,,556,41.65291269999999,-5.997800499999999,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Villanueva De Gállego,Zaragoza,Aragón,,Activo,,4720,41.7666628,-0.82392,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
